species_id,common_name,photo_attribution
6,,"(c) Kristiina Hurme, some rights reserved (CC BY), uploaded by Kristiina Hurme"
34,,"(c) lonnyholmes, some rights reserved (CC BY-NC), uploaded by lonnyholmes"
17,,"(c) gernotkunz, all rights reserved, uploaded by gernotkunz"
152,,"(c) Mignoffo, some rights reserved (CC BY-NC), uploaded by Mignoffo"
7,,"(c) Riccardo Novaga, some rights reserved (CC BY-NC), uploaded by Riccardo Novaga"
2,,"(c) Alex Shure, some rights reserved (CC BY-NC), uploaded by Alex Shure"
178,,"(c) Nick Landers, all rights reserved, uploaded by Nick Landers"
18,,"(c) kirk gardner, some rights reserved (CC BY), uploaded by kirk gardner"
11,,"(c) Neil Ward, some rights reserved (CC BY-ND)"
19,,"(c) Cody Cromer, some rights reserved (CC BY-NC), uploaded by Cody Cromer"
13,,"(c) Mitchel Buckner, some rights reserved (CC BY-NC), uploaded by Mitchel Buckner"
10,,"(c) Quinn, some rights reserved (CC BY), uploaded by Quinn"
125,,"(c) Guido and Carrara family, some rights reserved (CC BY)"
153,,"(c) Kevin Metcalf, some rights reserved (CC BY-NC), uploaded by Kevin Metcalf"
4,,"
Eric Engbretson, U.S. Fish and Wildlife Service, no known copyright restrictions (public domain)"
136,,"(c) Ian Banks, some rights reserved (CC BY-NC), uploaded by Ian Banks"
115,,"(c) Christian Amador Da Silva, all rights reserved, uploaded by Christian Amador Da Silva"
142,,"(c) 808_Diver, some rights reserved (CC BY-NC), uploaded by 808_Diver"
45,,"(c) species_spotlight, all rights reserved, uploaded by species_spotlight"
74,,"(c) Alex R, some rights reserved (CC BY-NC), uploaded by Alex R"
156,,"(c) Miciah McNels, all rights reserved, uploaded by Miciah McNels"
21,,"(c) John Cleckler, all rights reserved, uploaded by John Cleckler"
66,,"(c) Frank Krasovec, some rights reserved (CC BY-NC), uploaded by Frank Krasovec"
22,,"(c) Mike Patterson, some rights reserved (CC BY-NC), uploaded by Mike Patterson"
171,,"(c) Iidkk, some rights reserved (CC BY-SA)"
170,,"(c) beautifulbait, some rights reserved (CC BY-NC), uploaded by beautifulbait"
131,,"(c) Billy Bensted-Smith, some rights reserved (CC BY-NC), uploaded by Billy Bensted-Smith"
16,,"(c) Brandon Li, all rights reserved, uploaded by Brandon Li"
30,,"(c) Phil's 1stPix, some rights reserved (CC BY-NC-SA)"
36,,"(c) Jörg Freyhof, some rights reserved (CC BY-NC)"
155,,"(c) Michi Tobler, all rights reserved, uploaded by Michi Tobler"
1,,"(c) species_spotlight, all rights reserved, uploaded by species_spotlight"
28,,"(c) Joshua Rains, some rights reserved (CC BY-NC), uploaded by Joshua Rains"
187,,"(c) Ç. Soyer, some rights reserved (CC BY-NC), uploaded by Ç. Soyer"
26,,"(c) Alex Shure, some rights reserved (CC BY-NC), uploaded by Alex Shure"
158,,"(c) Rickard Zerpe, some rights reserved (CC BY)"
154,,"(c) Dustin Lynch, all rights reserved, uploaded by Dustin Lynch"
8,,"(c) Animal Diversity Web, some rights reserved (CC BY)"
56,,"(c) Rachel Andres-Beck, some rights reserved (CC BY-NC), uploaded by Rachel Andres-Beck"
58,,"(c) Jacob Jones, some rights reserved (CC BY-NC), uploaded by Jacob Jones"
144,,"(c) Pat Webster @underwaterpat, all rights reserved, uploaded by Pat Webster @underwaterpat"
50,,"(c) Vijay Anand Ismavel, some rights reserved (CC BY-NC-SA)"
73,,"(c) Pauline Walsh Jacobson, some rights reserved (CC BY), uploaded by Pauline Walsh Jacobson"
37,,"
Микова Наталия, no known copyright restrictions (public domain)"
175,,"(c) Phil's 1stPix, some rights reserved (CC BY-NC-SA)"
101,,"(c) Sylvain Le Bris, some rights reserved (CC BY-NC), uploaded by Sylvain Le Bris"
23,,"(c) O Nichols, all rights reserved, uploaded by O Nichols"
173,,"(c) Mattia, some rights reserved (CC BY-NC), uploaded by Mattia"
59,,"(c) Quinn, some rights reserved (CC BY), uploaded by Quinn"
116,,"(c) Mark Rosenstein, some rights reserved (CC BY-NC), uploaded by Mark Rosenstein"
95,,"(c) Sylvain Le Bris, some rights reserved (CC BY-NC), uploaded by Sylvain Le Bris"
5,,"(c) Tony Talarico, some rights reserved (CC BY-NC), uploaded by Tony Talarico"
72,,"(c) Susanne Spindler, some rights reserved (CC BY-NC-ND), uploaded by Susanne Spindler"
24,,"(c) Poul Erik Rasmussen, all rights reserved, uploaded by Poul Erik Rasmussen"
138,,"(c) pleahy, all rights reserved"
27,,"no rights reserved, uploaded by Nick Loveland"
139,,"(c) Gabriel Somarriba, all rights reserved, uploaded by Gabriel Somarriba"
64,,"(c) James Bailey, some rights reserved (CC BY-NC), uploaded by James Bailey"
55,,"(c) Kevin Bryant, some rights reserved (CC BY-NC-SA)"
61,,"(c) Emilio Concari, some rights reserved (CC BY-NC), uploaded by Emilio Concari"
15,,"(c) pmk00001, some rights reserved (CC BY-NC), uploaded by pmk00001"
3,,"(c) Oscar Johnson, some rights reserved (CC BY-NC-ND), uploaded by Oscar Johnson"
92,,"(c) Sebastien Landat, all rights reserved, uploaded by Sebastien Landat"
163,,"(c) Erik Schlögl, some rights reserved (CC BY-NC), uploaded by Erik Schlögl"
133,,"(c) Kevin Bryant, some rights reserved (CC BY-NC-SA)"
35,,"(c) Susanne Spindler, some rights reserved (CC BY-NC-ND), uploaded by Susanne Spindler"
90,,"(c) Nigel Marsh, some rights reserved (CC BY-NC), uploaded by Nigel Marsh"
161,,"(c) Richard Ling, some rights reserved (CC BY-NC-ND)"
185,,"(c) peterraskmoller, all rights reserved"
86,,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC), uploaded by Nikolai Vladimirov"
80,,"(c) Luis P. B., some rights reserved (CC BY-NC), uploaded by Luis P. B."
140,,"(c) Jacob Jones, some rights reserved (CC BY-NC), uploaded by Jacob Jones"
44,,"(c) Wie146, some rights reserved (CC BY-SA)"
159,,"(c) Nigel Marsh, some rights reserved (CC BY-NC), uploaded by Nigel Marsh"
14,,"
Engbretson, Eric / U.S. Fish and Wildlife Service, no known copyright restrictions (public domain)"
47,,"(c) cpar, some rights reserved (CC BY-NC), uploaded by cpar"
33,,"(c) gernotkunz, all rights reserved, uploaded by gernotkunz"
111,,"(c) Jacob Jones, some rights reserved (CC BY-NC), uploaded by Jacob Jones"
119,,"(c) Quinn, some rights reserved (CC BY), uploaded by Quinn"
87,,"(c) Luis P. B., some rights reserved (CC BY-NC), uploaded by Luis P. B."
96,,"(c) Joachim S. Müller, some rights reserved (CC BY-NC-SA)"
91,,"(c) John Sear, some rights reserved (CC BY-NC), uploaded by John Sear"
32,,"(c) gernotkunz, all rights reserved, uploaded by gernotkunz"
20,,"Engbretson, Eric, no known copyright restrictions (public domain)"
63,,"(c) François Libert, some rights reserved (CC BY-NC), uploaded by François Libert"
189,,"(c) Hans Hillewaert, some rights reserved (CC BY-NC-ND)"
172,,"(c) Axel Gosseries, some rights reserved (CC BY-NC), uploaded by Axel Gosseries"
31,,"(c) ProjectManhattan, some rights reserved (CC BY-SA)"
100,,"(c) chirleu, all rights reserved, uploaded by chirleu"
117,,"(c) Kirby Morejohn, some rights reserved (CC BY-NC), uploaded by Kirby Morejohn"
162,,"(c) Erik Schlögl, some rights reserved (CC BY-NC), uploaded by Erik Schlögl"
174,,"(c) Christa Rohrbach, some rights reserved (CC BY-NC-SA)"
166,,"(c) cedo12, some rights reserved (CC BY-NC)"
75,,"(c) Almcglashan, some rights reserved (CC BY-SA)"
179,,"(c) David Barros Cardona, some rights reserved (CC BY-NC), uploaded by David Barros Cardona"
160,,"(c) John Sear, some rights reserved (CC BY-NC), uploaded by John Sear"
181,,"(c) Alessandro De Almeida, some rights reserved (CC BY-NC), uploaded by Alessandro De Almeida"
164,,"(c) J. Martin Crossley, some rights reserved (CC BY-NC-SA), uploaded by J. Martin Crossley"
135,,"(c) Alex Shure, some rights reserved (CC BY-NC), uploaded by Alex Shure"
29,,"(c) Phil's 1stPix, some rights reserved (CC BY-NC-SA)"
88,,"(c) Marine Explorer (Dr John Turnbull), some rights reserved (CC BY-NC-SA)"
12,,"Engbretson, Eric / U.S. Fish and Wildlife Service, no known copyright restrictions (public domain)"
60,,"(c) Kyran Leeker, all rights reserved, uploaded by Kyran Leeker"
180,,"(c) Marie-Aurélia Sabatte, some rights reserved (CC BY-NC), uploaded by Marie-Aurélia Sabatte"
143,,"(c) NOAA Photo Library, some rights reserved (CC BY)"
141,,"(c) Ria Tan, some rights reserved (CC BY-NC-SA)"
176,,"(c) USFWS Mountain-Prairie, niektóre prawa zastrzeżone (CC BY)"
41,,"(c) Bas Kers, some rights reserved (CC BY-NC-SA)"
132,,"(c) Bernat Garrigós, some rights reserved (CC BY-NC), uploaded by Bernat Garrigós"
71,,"(c) Jacob Jones, some rights reserved (CC BY-NC), uploaded by Jacob Jones"
38,,"(c) John D Reynolds, some rights reserved (CC BY-NC), uploaded by John D Reynolds"
102,,"(c) josepvilanova, all rights reserved, uploaded by josepvilanova"
118,,"(c) collmg9, some rights reserved (CC BY-NC)"
134,,"(c) Alex Shure, some rights reserved (CC BY-NC), uploaded by Alex Shure"
192,,"(c) Dennis Rabeling, some rights reserved (CC BY-NC-ND), uploaded by Dennis Rabeling"
97,,"(c) Jim Greenfield, all rights reserved, uploaded by Jim Greenfield"
89,,"(c) Adam, some rights reserved (CC BY-NC), uploaded by Adam"
65,,"(c) Frank Krasovec, some rights reserved (CC BY-NC), uploaded by Frank Krasovec"
167,,"(c) Eric C. Maxwell, some rights reserved (CC BY-NC-ND), uploaded by Eric C. Maxwell"
93,,"(c) Ian Banks, some rights reserved (CC BY-NC), uploaded by Ian Banks"
54,,"(c) kengle, some rights reserved (CC BY-NC)"
62,,"(c) Ewout Knoester, some rights reserved (CC BY-SA), uploaded by Ewout Knoester"
69,,"(c) victorbach, some rights reserved (CC BY-NC), uploaded by victorbach"
48,,"(c) Brian Gratwicke, some rights reserved (CC BY-NC)"
120,,"(c) scubajulie, some rights reserved (CC BY-NC)"
137,,"(c) Koaw Nature, some rights reserved (CC BY-NC), uploaded by Koaw Nature"
9,,"(c) Tom Preney, all rights reserved, uploaded by Tom Preney"
39,,"(c) Gilles San Martin, some rights reserved (CC BY-SA)"
114,,"(c) Luis P. B., some rights reserved (CC BY-NC), uploaded by Luis P. B."
76,,"(c) Chris St Lawrence, all rights reserved, uploaded by Chris St Lawrence"
186,,"(c) Sylvain Le Bris, some rights reserved (CC BY-NC), uploaded by Sylvain Le Bris"
157,,"(c) Austin D West, some rights reserved (CC BY-NC), uploaded by Austin D West"
123,,"(c) Craig Minkley, all rights reserved, uploaded by Craig Minkley"
81,,"(c) Robin Hughes, some rights reserved (CC BY-NC-SA)"
195,,"(c) Mignoffo, some rights reserved (CC BY-NC), uploaded by Mignoffo"
196,,"(c) Tse Chung Yi, some rights reserved (CC BY-NC), uploaded by Tse Chung Yi"
197,,"(c) Natthaphat Chotjuckdikul, all rights reserved, uploaded by Natthaphat Chotjuckdikul"
198,,"(c) environ, some rights reserved (CC BY-NC-SA), uploaded by environ"
199,,"(c) JeffreyGammon, some rights reserved (CC BY-NC), uploaded by JeffreyGammon"
200,,"(c) Seth Patterson, all rights reserved, uploaded by Seth Patterson"
201,,"(c) David R, some rights reserved (CC BY-NC)"
202,,"(c) Squidpastry, some rights reserved (CC BY-NC), uploaded by Squidpastry"
203,,"(c) François Libert, some rights reserved (CC BY-NC-SA)"
204,,"(c) Gilles San Martin, some rights reserved (CC BY-SA)"
205,,"(c) Riccardo Novaga, some rights reserved (CC BY-NC), uploaded by Riccardo Novaga"
206,,"(c) Alex Bairstow, some rights reserved (CC BY-NC), uploaded by Alex Bairstow"
207,,"(c) Tim Cameron, all rights reserved"
208,,"(c) Tim Cameron, all rights reserved, uploaded by Tim Cameron"
209,,"(c) Philippe Guillaume, some rights reserved (CC BY)"
210,,"(c) francescodj, some rights reserved (CC BY-NC)"
211,,"(c) Jeff Stauffer, all rights reserved, uploaded by Jeff Stauffer"
212,,"(c) 104623964081378888743, some rights reserved (CC BY-NC), uploaded by 104623964081378888743"
213,,"(c) portioid, some rights reserved (CC BY), uploaded by portioid"
214,,"(c) Antoni López-Arenas i Cama, some rights reserved (CC BY-NC), uploaded by Antoni López-Arenas i Cama"
215,,"Karelj, no known copyright restrictions (public domain)"
216,,"(c) zsispeo, some rights reserved (CC BY-SA)"
217,,"(c) Pauline Walsh Jacobson, some rights reserved (CC BY), uploaded by Pauline Walsh Jacobson"
218,,"(c) Luis P. B., some rights reserved (CC BY-NC), uploaded by Luis P. B."
219,,"(c) Kevin Bryant, some rights reserved (CC BY-NC-SA)"
220,,"(c) François Libert, some rights reserved (CC BY-NC-SA), uploaded by François Libert"
221,,"(c) Yinan Li, some rights reserved (CC BY-NC), uploaded by Yinan Li"
222,,"(c) Luis P. B., some rights reserved (CC BY-NC), uploaded by Luis P. B."
223,,"(c) J. Martin Crossley, some rights reserved (CC BY-NC-SA), uploaded by J. Martin Crossley"
224,,"(c) Tim Cameron, all rights reserved"
225,,"(c) Luis P. B., some rights reserved (CC BY-NC), uploaded by Luis P. B."
226,,"(c) Hickson Fergusson, all rights reserved, uploaded by Hickson Fergusson"
227,,"(c) François Libert, some rights reserved (CC BY-NC-SA), uploaded by François Libert"
228,,"(c) Tim Cameron, all rights reserved, uploaded by Tim Cameron"
229,,"(c) Mark Rosenstein, some rights reserved (CC BY-NC), uploaded by Mark Rosenstein"
